09-14-2026 18:16:56 RAM 6595/7620MB (lfb 1x4MB) SWAP 779/8192MB (cached 203MB) CPU [3%@1728,0%@1728,0%@1728,0%@1728,0%@729,12%@729] GR3D_FREQ 99% cpu@51.187C soc2@49.437C soc0@49.718C gpu@51.937C tj@51.937C soc1@50.218C VDD_IN 11117mW/5611mW VDD_CPU_GPU_CV 5304mW/1295mW VDD_SOC 2089mW/1538mW
09-14-2026 18:16:56 RAM 6595/7620MB (lfb 1x4MB) SWAP 779/8192MB (cached 203MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,13%@729] GR3D_FREQ 99% cpu@51.156C soc2@49.5C soc0@49.718C gpu@51.812C tj@51.812C soc1@50.156C VDD_IN 11078mW/5720mW VDD_CPU_GPU_CV 5265mW/1374mW VDD_SOC 2089mW/1549mW
09-14-2026 18:16:57 RAM 6595/7620MB (lfb 1x4MB) SWAP 779/8192MB (cached 203MB) CPU [0%@1728,0%@1728,0%@1728,0%@1728,0%@729,14%@729] GR3D_FREQ 57% cpu@51.25C soc2@49.687C soc0@49.843C gpu@51.812C tj@51.812C soc1@50.125C VDD_IN 11314mW/5830mW VDD_CPU_GPU_CV 5383mW/1453mW VDD_SOC 2168mW/1562mW
09-14-2026 18:16:57 RAM 6595/7620MB (lfb 1x4MB) SWAP 779/8192MB (cached 203MB) CPU [0%@729,1%@729,0%@729,0%@729,18%@960,15%@960] GR3D_FREQ 99% cpu@51.343C soc2@49.687C soc0@50C gpu@52.281C tj@52.281C soc1@50.25C VDD_IN 11551mW/5940mW VDD_CPU_GPU_CV 5580mW/1532mW VDD_SOC 2168mW/1573mW
09-14-2026 18:16:58 RAM 6595/7620MB (lfb 1x4MB) SWAP 779/8192MB (cached 203MB) CPU [1%@729,0%@729,0%@729,0%@729,10%@729,4%@729] GR3D_FREQ 99% cpu@51.468C soc2@49.906C soc0@50.125C gpu@52.406C tj@52.406C soc1@50.281C VDD_IN 11748mW/6049mW VDD_CPU_GPU_CV 5649mW/1610mW VDD_SOC 2282mW/1587mW
09-14-2026 18:16:58 RAM 6596/7620MB (lfb 1x4MB) SWAP 779/8192MB (cached 203MB) CPU [1%@1728,0%@1728,0%@1728,0%@1728,3%@729,15%@729] GR3D_FREQ 99% cpu@51.593C soc2@49.906C soc0@50.062C gpu@52.25C tj@52.25C soc1@50.375C VDD_IN 11275mW/6146mW VDD_CPU_GPU_CV 5422mW/1681mW VDD_SOC 2168mW/1597mW
09-14-2026 18:16:59 RAM 6636/7620MB (lfb 1x4MB) SWAP 779/8192MB (cached 203MB) CPU [0%@729,1%@729,0%@729,0%@729,7%@729,22%@729] GR3D_FREQ 99% cpu@51.562C soc2@49.968C soc0@50.218C gpu@52.562C tj@52.562C soc1@50.437C VDD_IN 11472mW/6243mW VDD_CPU_GPU_CV 5383mW/1748mW VDD_SOC 2286mW/1610mW
09-14-2026 18:16:59 RAM 6636/7620MB (lfb 1x4MB) SWAP 779/8192MB (cached 203MB) CPU [1%@729,0%@729,0%@729,0%@729,0%@729,13%@729] GR3D_FREQ 99% cpu@51.718C soc2@49.968C soc0@50.218C gpu@52.656C tj@52.656C soc1@50.656C VDD_IN 11630mW/6339mW VDD_CPU_GPU_CV 5462mW/1814mW VDD_SOC 2361mW/1623mW
09-14-2026 18:17:00 RAM 6640/7620MB (lfb 1x4MB) SWAP 779/8192MB (cached 203MB) CPU [0%@729,1%@729,0%@729,0%@729,0%@729,15%@729] GR3D_FREQ 99% cpu@51.656C soc2@50.093C soc0@50.312C gpu@52.218C tj@52.218C soc1@50.687C VDD_IN 11511mW/6430mW VDD_CPU_GPU_CV 5383mW/1877mW VDD_SOC 2326mW/1636mW
09-14-2026 18:17:00 RAM 6640/7620MB (lfb 1x4MB) SWAP 779/8192MB (cached 203MB) CPU [0%@729,1%@729,1%@729,0%@1728,0%@729,14%@729] GR3D_FREQ 99% cpu@52.093C soc2@50.281C soc0@50.312C gpu@52.437C tj@52.437C soc1@50.75C VDD_IN 11590mW/6519mW VDD_CPU_GPU_CV 5462mW/1939mW VDD_SOC 2322mW/1647mW
09-14-2026 18:17:01 RAM 6642/7620MB (lfb 1x4MB) SWAP 779/8192MB (cached 203MB) CPU [1%@729,0%@729,0%@729,0%@729,3%@729,14%@729] GR3D_FREQ 69% cpu@52C soc2@50.375C soc0@50.5C gpu@52.468C tj@52.468C soc1@50.75C VDD_IN 11787mW/6608mW VDD_CPU_GPU_CV 5492mW/1999mW VDD_SOC 2400mW/1660mW
09-14-2026 18:17:01 RAM 6647/7620MB (lfb 1x4MB) SWAP 779/8192MB (cached 203MB) CPU [1%@729,2%@729,6%@729,1%@729,0%@729,11%@729] GR3D_FREQ 99% cpu@52.093C soc2@50.343C soc0@50.625C gpu@52.75C tj@52.75C soc1@50.718C VDD_IN 11945mW/6697mW VDD_CPU_GPU_CV 5649mW/2060mW VDD_SOC 2361mW/1672mW
09-14-2026 18:17:02 RAM 6641/7620MB (lfb 1x4MB) SWAP 779/8192MB (cached 203MB) CPU [1%@729,0%@729,2%@729,0%@729,0%@729,15%@729] GR3D_FREQ 99% cpu@52.125C soc2@50.375C soc0@50.562C gpu@52.843C tj@52.843C soc1@50.781C VDD_IN 11669mW/6779mW VDD_CPU_GPU_CV 5540mW/2117mW VDD_SOC 2322mW/1683mW
