09-12-2026 20:03:53 RAM 7356/7620MB (lfb 1x1MB) SWAP 2969/12002MB (cached 5MB) CPU [18%@729,11%@729,10%@729,8%@729,1%@1728,98%@1728] GR3D_FREQ 73% cpu@53.812C soc2@51.937C soc0@51.812C gpu@53.25C tj@53.812C soc1@52.656C VDD_IN 12083mW/6681mW VDD_CPU_GPU_CV 4197mW/1880mW VDD_SOC 2991mW/1667mW
09-12-2026 20:03:54 RAM 7350/7620MB (lfb 2x128kB) SWAP 2935/12002MB (cached 5MB) CPU [0%@1728,0%@1728,8%@1728,0%@1728,0%@1728,89%@1728] GR3D_FREQ 37% cpu@53.968C soc2@51.906C soc0@52.187C gpu@53.156C tj@53.968C soc1@52.718C VDD_IN 11275mW/6805mW VDD_CPU_GPU_CV 3615mW/1927mW VDD_SOC 3306mW/1711mW
09-12-2026 20:03:55 RAM 7329/7620MB (lfb 2x128kB) SWAP 2973/12002MB (cached 5MB) CPU [2%@729,0%@729,35%@729,2%@729,0%@1728,80%@1728] GR3D_FREQ 61% cpu@54.281C soc2@52.406C soc0@52.25C gpu@54.062C tj@54.281C soc1@52.75C VDD_IN 14555mW/7009mW VDD_CPU_GPU_CV 5426mW/2019mW VDD_SOC 4073mW/1773mW
09-12-2026 20:03:55 RAM 7330/7620MB (lfb 1x1MB) SWAP 2973/12002MB (cached 5MB) CPU [1%@729,17%@729,0%@729,0%@729,0%@1728,98%@1728] GR3D_FREQ 65% cpu@54.625C soc2@52.375C soc0@52.375C gpu@53.843C tj@54.625C soc1@52.843C VDD_IN 14437mW/7200mW VDD_CPU_GPU_CV 4927mW/2094mW VDD_SOC 4230mW/1836mW
09-12-2026 20:03:56 RAM 7331/7620MB (lfb 1x1MB) SWAP 2972/12002MB (cached 5MB) CPU [0%@729,1%@729,0%@729,0%@729,0%@1344,90%@1344] GR3D_FREQ 99% cpu@54.406C soc2@52.5C soc0@52.5C gpu@54.937C tj@54.937C soc1@53.062C VDD_IN 14358mW/7379mW VDD_CPU_GPU_CV 5122mW/2169mW VDD_SOC 4151mW/1894mW
09-12-2026 20:03:56 RAM 7331/7620MB (lfb 1x1MB) SWAP 2972/12002MB (cached 5MB) CPU [0%@1728,0%@1728,0%@1728,0%@1728,0%@1728,86%@1728] GR3D_FREQ 62% cpu@54.687C soc2@52.906C soc0@52.593C gpu@54.375C tj@54.687C soc1@53.187C VDD_IN 15314mW/7572mW VDD_CPU_GPU_CV 5651mW/2254mW VDD_SOC 4340mW/1954mW
09-12-2026 20:03:57 RAM 7331/7620MB (lfb 1x1MB) SWAP 2972/12002MB (cached 5MB) CPU [1%@729,0%@729,0%@729,0%@729,0%@1728,98%@1728] GR3D_FREQ 61% cpu@54.718C soc2@52.906C soc0@52.718C gpu@54.656C tj@54.718C soc1@53.343C VDD_IN 14805mW/7745mW VDD_CPU_GPU_CV 5231mW/2325mW VDD_SOC 4308mW/2010mW
09-12-2026 20:03:57 RAM 7332/7620MB (lfb 1x1MB) SWAP 2967/12002MB (cached 5MB) CPU [0%@1728,1%@1728,1%@1728,0%@1728,0%@1728,88%@1728] GR3D_FREQ 99% cpu@55.187C soc2@53.062C soc0@52.843C gpu@55.5C tj@55.5C soc1@53.281C VDD_IN 15902mW/7934mW VDD_CPU_GPU_CV 6353mW/2419mW VDD_SOC 4301mW/2063mW
09-12-2026 20:03:58 RAM 7333/7620MB (lfb 1x1MB) SWAP 2966/12002MB (cached 5MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@1728,90%@1728] GR3D_FREQ 59% cpu@55.312C soc2@53.093C soc0@52.906C gpu@55C tj@55.312C soc1@53.468C VDD_IN 15236mW/8100mW VDD_CPU_GPU_CV 5621mW/2492mW VDD_SOC 4223mW/2112mW
09-12-2026 20:03:58 RAM 7333/7620MB (lfb 1x1MB) SWAP 2966/12002MB (cached 5MB) CPU [0%@1728,0%@1728,0%@1728,3%@1728,0%@1728,100%@1728] GR3D_FREQ 62% cpu@55.25C soc2@53.156C soc0@52.968C gpu@54.812C tj@55.25C soc1@53.468C VDD_IN 14790mW/8249mW VDD_CPU_GPU_CV 5192mW/2552mW VDD_SOC 4230mW/2159mW
09-12-2026 20:03:59 RAM 7333/7620MB (lfb 1x1MB) SWAP 2963/12002MB (cached 5MB) CPU [1%@729,0%@729,1%@729,1%@1728,0%@1728,98%@1728] GR3D_FREQ 24% cpu@55.031C soc2@53.156C soc0@53.093C gpu@55.093C tj@55.156C soc1@53.687C VDD_IN 14084mW/8376mW VDD_CPU_GPU_CV 4927mW/2603mW VDD_SOC 4073mW/2201mW
09-12-2026 20:03:59 RAM 7334/7620MB (lfb 1x1MB) SWAP 2963/12002MB (cached 5MB) CPU [2%@729,0%@729,0%@729,12%@729,0%@1728,80%@1728] GR3D_FREQ 62% cpu@55.25C soc2@53.406C soc0@53.062C gpu@55.093C tj@55.25C soc1@53.687C VDD_IN 15510mW/8527mW VDD_CPU_GPU_CV 5846mW/2672mW VDD_SOC 4262mW/2245mW
09-12-2026 20:04:00 RAM 7335/7620MB (lfb 1x1MB) SWAP 2962/12002MB (cached 5MB) CPU [0%@1728,1%@1728,0%@1728,0%@1728,0%@1728,100%@1728] GR3D_FREQ 56% cpu@55.25C soc2@53.531C soc0@53.187C gpu@55.187C tj@55.25C soc1@53.812C VDD_IN 14844mW/8659mW VDD_CPU_GPU_CV 5270mW/2726mW VDD_SOC 4230mW/2286mW
09-12-2026 20:04:00 RAM 7335/7620MB (lfb 1x1MB) SWAP 2962/12002MB (cached 5MB) CPU [0%@1728,0%@1728,0%@1728,0%@1728,0%@1728,98%@1728] GR3D_FREQ 60% cpu@55.375C soc2@53.531C soc0@53.406C gpu@55.156C tj@55.375C soc1@53.812C VDD_IN 14672mW/8782mW VDD_CPU_GPU_CV 5075mW/2774mW VDD_SOC 4230mW/2326mW
09-12-2026 20:04:01 RAM 7335/7620MB (lfb 1x1MB) SWAP 2962/12002MB (cached 5MB) CPU [3%@1728,0%@1728,0%@1728,1%@1728,0%@1728,80%@1728] GR3D_FREQ 64% cpu@55.687C soc2@53.781C soc0@53.437C gpu@55.562C tj@55.687C soc1@53.937C VDD_IN 15876mW/8924mW VDD_CPU_GPU_CV 6197mW/2843mW VDD_SOC 4301mW/2365mW
09-12-2026 20:04:01 RAM 7334/7620MB (lfb 1x1MB) SWAP 2962/12002MB (cached 5MB) CPU [0%@1728,0%@1728,0%@1728,0%@1728,0%@1728,98%@1728] GR3D_FREQ 59% cpu@55.656C soc2@53.718C soc0@53.531C gpu@55.406C tj@55.656C soc1@53.937C VDD_IN 14923mW/9041mW VDD_CPU_GPU_CV 5387mW/2893mW VDD_SOC 4269mW/2403mW
09-12-2026 20:04:02 RAM 7335/7620MB (lfb 1x1MB) SWAP 2961/12002MB (cached 5MB) CPU [1%@729,0%@729,0%@729,0%@729,3%@1728,100%@1728] GR3D_FREQ 61% cpu@55.781C soc2@53.843C soc0@53.562C gpu@55.281C tj@55.781C soc1@54.156C VDD_IN 14712mW/9150mW VDD_CPU_GPU_CV 5153mW/2936mW VDD_SOC 4230mW/2438mW
09-12-2026 20:04:02 RAM 7336/7620MB (lfb 1x1MB) SWAP 2961/12002MB (cached 5MB) CPU [0%@1728,1%@1728,0%@1728,1%@1728,0%@1728,80%@1728] GR3D_FREQ 63% cpu@55.781C soc2@54.031C soc0@53.625C gpu@56C tj@56C soc1@54.281C VDD_IN 16384mW/9287mW VDD_CPU_GPU_CV 6692mW/3007mW VDD_SOC 4294mW/2473mW
09-12-2026 20:04:03 RAM 7336/7620MB (lfb 1x1MB) SWAP 2961/12002MB (cached 5MB) CPU [3%@729,1%@729,0%@729,1%@729,0%@1728,98%@1728] GR3D_FREQ 63% cpu@56.187C soc2@54.156C soc0@53.75C gpu@55.593C tj@55.906C soc1@54.312C VDD_IN 15079mW/9394mW VDD_CPU_GPU_CV 5543mW/3054mW VDD_SOC 4262mW/2506mW
09-12-2026 20:04:03 RAM 7336/7620MB (lfb 1x1MB) SWAP 2961/12002MB (cached 5MB) CPU [0%@1728,1%@1728,0%@1728,0%@1728,0%@1728,100%@1728] GR3D_FREQ 61% cpu@56.25C soc2@54.156C soc0@53.906C gpu@55.968C tj@56.25C soc1@54.375C VDD_IN 14727mW/9491mW VDD_CPU_GPU_CV 5192mW/3093mW VDD_SOC 4230mW/2537mW
09-12-2026 20:04:04 RAM 7336/7620MB (lfb 1x1MB) SWAP 2961/12002MB (cached 5MB) CPU [0%@729,0%@729,1%@729,0%@729,1%@1728,98%@1728] GR3D_FREQ 0% cpu@55.875C soc2@53.968C soc0@54C gpu@55.218C tj@55.875C soc1@54.468C VDD_IN 13927mW/9570mW VDD_CPU_GPU_CV 4809mW/3124mW VDD_SOC 4073mW/2565mW
09-12-2026 20:04:04 RAM 7336/7620MB (lfb 1x1MB) SWAP 2961/12002MB (cached 5MB) CPU [0%@729,0%@729,0%@1728,0%@1728,0%@1728,80%@1728] GR3D_FREQ 60% cpu@56.281C soc2@54.343C soc0@54.031C gpu@56.25C tj@56.281C soc1@54.531C VDD_IN 15510mW/9674mW VDD_CPU_GPU_CV 5924mW/3173mW VDD_SOC 4262mW/2595mW
09-12-2026 20:04:05 RAM 7336/7620MB (lfb 1x1MB) SWAP 2961/12002MB (cached 5MB) CPU [0%@1728,0%@1728,0%@1728,0%@1728,0%@1728,100%@1728] GR3D_FREQ 62% cpu@56.25C soc2@54.562C soc0@54.062C gpu@55.937C tj@56.25C soc1@54.75C VDD_IN 14805mW/9763mW VDD_CPU_GPU_CV 5309mW/3209mW VDD_SOC 4230mW/2623mW
09-12-2026 20:04:05 RAM 7336/7620MB (lfb 1x1MB) SWAP 2961/12002MB (cached 5MB) CPU [0%@1728,0%@1728,0%@1728,0%@1728,0%@1728,98%@1728] GR3D_FREQ 55% cpu@56.25C soc2@54.5C soc0@54.093C gpu@56.312C tj@56.312C soc1@54.781C VDD_IN 14712mW/9847mW VDD_CPU_GPU_CV 5114mW/3242mW VDD_SOC 4230mW/2650mW
