09-12-2026 20:37:02 RAM 6459/7620MB (lfb 4x1MB) SWAP 1068/12002MB (cached 10MB) CPU [0%@1728,98%@1728,1%@1728,0%@1728,0%@729,0%@729] GR3D_FREQ 38% cpu@52.718C soc2@50.968C soc0@51.031C gpu@52.156C tj@52.718C soc1@51.625C VDD_IN 10029mW/7975mW VDD_CPU_GPU_CV 4021mW/2647mW VDD_SOC 2369mW/1960mW
09-12-2026 20:37:02 RAM 6459/7620MB (lfb 4x1MB) SWAP 1068/12002MB (cached 10MB) CPU [0%@1728,100%@1728,0%@1728,0%@1728,1%@729,0%@729] GR3D_FREQ 45% cpu@52.593C soc2@50.843C soc0@51C gpu@52.281C tj@52.593C soc1@51.562C VDD_IN 8661mW/7990mW VDD_CPU_GPU_CV 3356mW/2663mW VDD_SOC 1938mW/1960mW
09-12-2026 20:37:03 RAM 6459/7620MB (lfb 4x1MB) SWAP 1068/12002MB (cached 10MB) CPU [1%@1728,98%@1728,0%@1728,0%@1728,0%@729,0%@729] GR3D_FREQ 55% cpu@52.781C soc2@50.843C soc0@50.968C gpu@52.062C tj@52.781C soc1@51.468C VDD_IN 8240mW/7996mW VDD_CPU_GPU_CV 3040mW/2671mW VDD_SOC 1822mW/1957mW
09-12-2026 20:37:03 RAM 6459/7620MB (lfb 4x1MB) SWAP 1068/12002MB (cached 10MB) CPU [0%@1728,82%@1728,0%@1728,0%@1728,0%@729,0%@729] GR3D_FREQ 99% cpu@52.937C soc2@51.187C soc0@51.125C gpu@53.937C tj@53.937C soc1@51.531C VDD_IN 13146mW/8105mW VDD_CPU_GPU_CV 6149mW/2745mW VDD_SOC 2554mW/1969mW
09-12-2026 20:37:04 RAM 6459/7620MB (lfb 4x1MB) SWAP 1068/12002MB (cached 10MB) CPU [0%@1728,66%@1728,0%@1728,0%@1728,0%@729,0%@729] GR3D_FREQ 32% cpu@53.125C soc2@51.343C soc0@51.281C gpu@53C tj@53.125C soc1@51.906C VDD_IN 13360mW/8215mW VDD_CPU_GPU_CV 5836mW/2809mW VDD_SOC 3261mW/1996mW
09-12-2026 20:37:04 RAM 6459/7620MB (lfb 4x1MB) SWAP 1068/12002MB (cached 10MB) CPU [1%@1728,100%@1728,0%@1728,0%@1728,0%@729,0%@729] GR3D_FREQ 46% cpu@52.937C soc2@51.062C soc0@51.25C gpu@52.468C tj@52.937C soc1@51.812C VDD_IN 10306mW/8257mW VDD_CPU_GPU_CV 4172mW/2837mW VDD_SOC 2487mW/2006mW
09-12-2026 20:37:05 RAM 6459/7620MB (lfb 4x1MB) SWAP 1068/12002MB (cached 10MB) CPU [0%@1728,88%@1728,0%@1728,0%@1728,0%@729,0%@729] GR3D_FREQ 77% cpu@53.25C soc2@51.218C soc0@51.312C gpu@53.406C tj@53.406C soc1@51.812C VDD_IN 10999mW/8312mW VDD_CPU_GPU_CV 4833mW/2877mW VDD_SOC 2326mW/2013mW
09-12-2026 20:37:05 RAM 6459/7620MB (lfb 4x1MB) SWAP 1068/12002MB (cached 10MB) CPU [17%@1728,84%@1728,2%@1728,0%@1728,0%@729,0%@729] GR3D_FREQ 35% cpu@53.593C soc2@51.468C soc0@51.468C gpu@52.75C tj@53.593C soc1@51.75C VDD_IN 11196mW/8369mW VDD_CPU_GPU_CV 4754mW/2914mW VDD_SOC 2562mW/2024mW
09-12-2026 20:37:06 RAM 6459/7620MB (lfb 4x1MB) SWAP 1068/12002MB (cached 10MB) CPU [100%@1728,0%@1728,0%@1728,0%@1728,0%@729,0%@729] GR3D_FREQ 47% cpu@53.312C soc2@51.312C soc0@51.375C gpu@52.375C tj@53.312C soc1@51.781C VDD_IN 9096mW/8383mW VDD_CPU_GPU_CV 3587mW/2927mW VDD_SOC 2017mW/2023mW
09-12-2026 20:37:06 RAM 6459/7620MB (lfb 4x1MB) SWAP 1068/12002MB (cached 10MB) CPU [98%@1728,1%@1728,0%@1728,0%@1728,0%@729,0%@729] GR3D_FREQ 99% cpu@53.218C soc2@51.312C soc0@51.406C gpu@53.062C tj@53.218C soc1@52C VDD_IN 8780mW/8390mW VDD_CPU_GPU_CV 3395mW/2936mW VDD_SOC 1898mW/2021mW
09-12-2026 20:37:07 RAM 6459/7620MB (lfb 4x1MB) SWAP 1068/12002MB (cached 10MB) CPU [86%@1728,0%@1728,0%@1728,1%@1728,0%@729,1%@729] GR3D_FREQ 30% cpu@53.406C soc2@51.625C soc0@51.437C gpu@52.781C tj@53.406C soc1@52C VDD_IN 11235mW/8443mW VDD_CPU_GPU_CV 5029mW/2974mW VDD_SOC 2286mW/2026mW
09-12-2026 20:37:07 RAM 6459/7620MB (lfb 4x1MB) SWAP 1067/12002MB (cached 10MB) CPU [100%@1728,1%@1728,0%@1728,0%@1728,0%@729,0%@729] GR3D_FREQ 45% cpu@53.281C soc2@51.468C soc0@51.437C gpu@52.812C tj@53.281C soc1@52C VDD_IN 9136mW/8456mW VDD_CPU_GPU_CV 3705mW/2988mW VDD_SOC 1938mW/2024mW
09-12-2026 20:37:08 RAM 6459/7620MB (lfb 4x1MB) SWAP 1067/12002MB (cached 10MB) CPU [98%@1728,0%@1728,0%@1728,1%@1728,0%@729,0%@729] GR3D_FREQ 62% cpu@53.25C soc2@51.437C soc0@51.531C gpu@52.5C tj@53.25C soc1@51.968C VDD_IN 8398mW/8455mW VDD_CPU_GPU_CV 3198mW/2991mW VDD_SOC 1819mW/2021mW
09-12-2026 20:37:08 RAM 6459/7620MB (lfb 4x1MB) SWAP 1067/12002MB (cached 10MB) CPU [82%@1728,1%@1728,0%@1728,0%@1728,0%@729,0%@729] GR3D_FREQ 99% cpu@53.625C soc2@51.937C soc0@51.625C gpu@54.281C tj@54.281C soc1@51.968C VDD_IN 14185mW/8555mW VDD_CPU_GPU_CV 6686mW/3056mW VDD_SOC 2863mW/2035mW
09-12-2026 20:37:09 RAM 6459/7620MB (lfb 4x1MB) SWAP 1067/12002MB (cached 10MB) CPU [68%@1728,0%@1728,0%@1728,0%@1728,0%@729,0%@729] GR3D_FREQ 30% cpu@53.781C soc2@51.937C soc0@51.656C gpu@53.312C tj@53.781C soc1@52.375C VDD_IN 12928mW/8630mW VDD_CPU_GPU_CV 5601mW/3100mW VDD_SOC 3222mW/2056mW
09-12-2026 20:37:09 RAM 6459/7620MB (lfb 4x1MB) SWAP 1067/12002MB (cached 10MB) CPU [98%@1728,0%@1728,0%@1728,0%@1728,0%@729,0%@729] GR3D_FREQ 44% cpu@53.656C soc2@51.875C soc0@51.718C gpu@52.906C tj@53.656C soc1@52.343C VDD_IN 10108mW/8656mW VDD_CPU_GPU_CV 4093mW/3117mW VDD_SOC 2408mW/2062mW
09-12-2026 20:37:10 RAM 6459/7620MB (lfb 4x1MB) SWAP 1067/12002MB (cached 10MB) CPU [88%@1728,0%@1728,1%@1728,0%@1728,0%@729,0%@729] GR3D_FREQ 97% cpu@53.718C soc2@51.937C soc0@51.937C gpu@54.187C tj@54.187C soc1@52.343C VDD_IN 12024mW/8712mW VDD_CPU_GPU_CV 5414mW/3155mW VDD_SOC 2479mW/2069mW
09-12-2026 20:37:10 RAM 6459/7620MB (lfb 4x1MB) SWAP 1067/12002MB (cached 10MB) CPU [98%@1728,0%@1728,0%@1728,0%@1728,0%@729,0%@729] GR3D_FREQ 34% cpu@53.937C soc2@52C soc0@51.937C gpu@53.156C tj@53.937C soc1@52.25C VDD_IN 10802mW/8746mW VDD_CPU_GPU_CV 4558mW/3178mW VDD_SOC 2483mW/2076mW
09-12-2026 20:37:11 RAM 6460/7620MB (lfb 4x1MB) SWAP 1067/12002MB (cached 10MB) CPU [100%@1728,0%@1728,0%@1728,0%@1728,0%@729,0%@729] GR3D_FREQ 45% cpu@53.812C soc2@51.906C soc0@51.937C gpu@52.781C tj@53.812C soc1@52.343C VDD_IN 8938mW/8749mW VDD_CPU_GPU_CV 3548mW/3184mW VDD_SOC 1977mW/2074mW
09-12-2026 20:37:11 RAM 6460/7620MB (lfb 4x1MB) SWAP 1067/12002MB (cached 10MB) CPU [98%@1728,1%@1728,0%@1728,0%@1728,0%@729,0%@729] GR3D_FREQ 62% cpu@53.718C soc2@51.781C soc0@51.812C gpu@53.031C tj@53.718C soc1@52.625C VDD_IN 8319mW/8742mW VDD_CPU_GPU_CV 3159mW/3184mW VDD_SOC 1819mW/2070mW
09-12-2026 20:37:12 RAM 6460/7620MB (lfb 4x1MB) SWAP 1067/12002MB (cached 10MB) CPU [28%@1728,54%@1728,0%@1728,0%@1728,0%@729,0%@729] GR3D_FREQ 99% cpu@53.593C soc2@51.937C soc0@51.875C gpu@54.343C tj@54.218C soc1@52.468C VDD_IN 12122mW/8795mW VDD_CPU_GPU_CV 5414mW/3219mW VDD_SOC 2400mW/2075mW
09-12-2026 20:37:12 RAM 6460/7620MB (lfb 4x1MB) SWAP 1067/12002MB (cached 10MB) CPU [0%@1728,61%@1728,0%@1728,0%@1728,0%@729,0%@729] GR3D_FREQ 25% cpu@54.343C soc2@52.312C soc0@52.281C gpu@54.156C tj@54.343C soc1@52.625C VDD_IN 15025mW/8891mW VDD_CPU_GPU_CV 6558mW/3270mW VDD_SOC 3642mW/2099mW
09-12-2026 20:37:13 RAM 6460/7620MB (lfb 4x1MB) SWAP 1067/12002MB (cached 10MB) CPU [0%@1728,98%@1728,0%@1728,1%@1728,1%@729,0%@729] GR3D_FREQ 38% cpu@53.968C soc2@52.187C soc0@52.218C gpu@53.531C tj@53.968C soc1@52.718C VDD_IN 11630mW/8932mW VDD_CPU_GPU_CV 4519mW/3289mW VDD_SOC 3148mW/2115mW
