09-13-2026 00:27:15 RAM 4515/7620MB (lfb 16x1MB) SWAP 907/12002MB (cached 10MB) CPU [23%@1728,0%@1728,22%@1728,70%@1728,20%@729,23%@729] GR3D_FREQ 0% cpu@50.875C soc2@48.812C soc0@49.5C gpu@49.75C tj@50.875C soc1@50.031C VDD_IN 5842mW/5878mW VDD_CPU_GPU_CV 1190mW/1481mW VDD_SOC 1629mW/1520mW
09-13-2026 00:27:15 RAM 4573/7620MB (lfb 215x512kB) SWAP 907/12002MB (cached 10MB) CPU [18%@1728,5%@1728,13%@1728,80%@1728,16%@1728,17%@1728] GR3D_FREQ 57% cpu@50.968C soc2@48.843C soc0@49.437C gpu@49.843C tj@50.968C soc1@50.187C VDD_IN 6001mW/5882mW VDD_CPU_GPU_CV 1309mW/1476mW VDD_SOC 1629mW/1523mW
09-13-2026 00:27:16 RAM 4683/7620MB (lfb 210x512kB) SWAP 907/12002MB (cached 10MB) CPU [28%@729,38%@729,12%@729,66%@729,42%@729,42%@729] GR3D_FREQ 38% cpu@50.593C soc2@48.875C soc0@49.312C gpu@49.75C tj@50.593C soc1@50.156C VDD_IN 5961mW/5884mW VDD_CPU_GPU_CV 1269mW/1471mW VDD_SOC 1629mW/1526mW
09-13-2026 00:27:16 RAM 4713/7620MB (lfb 211x512kB) SWAP 907/12002MB (cached 10MB) CPU [10%@1728,9%@1728,0%@1728,88%@1728,11%@729,4%@729] GR3D_FREQ 0% cpu@51.093C soc2@48.968C soc0@49.468C gpu@49.75C tj@51.093C soc1@50.093C VDD_IN 5842mW/5883mW VDD_CPU_GPU_CV 1190mW/1464mW VDD_SOC 1589mW/1528mW
09-13-2026 00:27:17 RAM 4909/7620MB (lfb 211x512kB) SWAP 907/12002MB (cached 10MB) CPU [12%@729,23%@729,21%@729,70%@729,32%@729,41%@729] GR3D_FREQ 74% cpu@50.968C soc2@48.906C soc0@49.437C gpu@49.781C tj@50.968C soc1@50.062C VDD_IN 6001mW/5886mW VDD_CPU_GPU_CV 1309mW/1460mW VDD_SOC 1629mW/1530mW
09-13-2026 00:27:17 RAM 5107/7620MB (lfb 181x512kB) SWAP 907/12002MB (cached 10MB) CPU [12%@729,42%@729,54%@729,39%@729,41%@883,37%@883] GR3D_FREQ 33% cpu@50.812C soc2@48.906C soc0@49.562C gpu@49.781C tj@50.812C soc1@50.125C VDD_IN 6001mW/5888mW VDD_CPU_GPU_CV 1269mW/1455mW VDD_SOC 1629mW/1533mW
09-13-2026 00:27:18 RAM 5108/7620MB (lfb 181x512kB) SWAP 907/12002MB (cached 10MB) CPU [0%@1728,1%@1728,98%@1728,0%@1728,6%@729,0%@729] GR3D_FREQ 0% cpu@51.062C soc2@48.843C soc0@49.5C gpu@49.843C tj@51.062C soc1@50.093C VDD_IN 5802mW/5886mW VDD_CPU_GPU_CV 1190mW/1449mW VDD_SOC 1589mW/1534mW
09-13-2026 00:27:18 RAM 5398/7620MB (lfb 90x512kB) SWAP 907/12002MB (cached 10MB) CPU [16%@729,33%@806,64%@806,32%@806,43%@883,36%@883] GR3D_FREQ 16% cpu@50.812C soc2@48.937C soc0@49.468C gpu@49.781C tj@50.812C soc1@50.125C VDD_IN 6041mW/5890mW VDD_CPU_GPU_CV 1309mW/1446mW VDD_SOC 1629mW/1536mW
09-13-2026 00:27:19 RAM 5508/7620MB (lfb 47x512kB) SWAP 907/12002MB (cached 10MB) CPU [8%@1728,26%@1728,75%@1728,21%@1728,28%@729,26%@729] GR3D_FREQ 0% cpu@51.125C soc2@48.906C soc0@49.5C gpu@50.093C tj@51.281C soc1@50.218C VDD_IN 5882mW/5890mW VDD_CPU_GPU_CV 1190mW/1440mW VDD_SOC 1629mW/1538mW
09-13-2026 00:27:19 RAM 5544/7620MB (lfb 3x1MB) SWAP 907/12002MB (cached 10MB) CPU [13%@1728,5%@1728,89%@1728,3%@1728,0%@729,3%@729] GR3D_FREQ 10% cpu@50.812C soc2@49C soc0@49.5C gpu@49.812C tj@50.812C soc1@50.187C VDD_IN 5762mW/5887mW VDD_CPU_GPU_CV 1190mW/1434mW VDD_SOC 1589mW/1540mW
09-13-2026 00:27:20 RAM 5741/7620MB (lfb 3647x32kB) SWAP 907/12002MB (cached 10MB) CPU [15%@883,38%@883,69%@883,34%@883,50%@1190,37%@1190] GR3D_FREQ 21% cpu@50.875C soc2@48.968C soc0@49.468C gpu@49.812C tj@50.843C soc1@50.187C VDD_IN 5842mW/5886mW VDD_CPU_GPU_CV 1190mW/1429mW VDD_SOC 1629mW/1541mW
09-13-2026 00:27:20 RAM 5922/7620MB (lfb 4327x32kB) SWAP 907/12002MB (cached 10MB) CPU [6%@1728,18%@1728,78%@1728,18%@1728,34%@729,22%@729] GR3D_FREQ 0% cpu@51.093C soc2@49C soc0@49.5C gpu@49.812C tj@51.093C soc1@50.187C VDD_IN 5882mW/5886mW VDD_CPU_GPU_CV 1230mW/1425mW VDD_SOC 1629mW/1543mW
09-13-2026 00:27:21 RAM 6054/7620MB (lfb 4063x32kB) SWAP 908/12002MB (cached 10MB) CPU [18%@1497,13%@1497,92%@1497,17%@1497,16%@1728,24%@1728] GR3D_FREQ 0% cpu@51.593C soc2@49.062C soc0@49.625C gpu@49.843C tj@51.593C soc1@50.093C VDD_IN 6279mW/5894mW VDD_CPU_GPU_CV 1587mW/1428mW VDD_SOC 1629mW/1545mW
09-13-2026 00:27:21 RAM 6285/7620MB (lfb 9x128kB) SWAP 908/12002MB (cached 10MB) CPU [11%@1728,21%@1728,66%@1728,29%@1728,23%@729,32%@729] GR3D_FREQ 0% cpu@51C soc2@49.062C soc0@49.625C gpu@49.812C tj@51C soc1@50.125C VDD_IN 6001mW/5896mW VDD_CPU_GPU_CV 1388mW/1427mW VDD_SOC 1589mW/1546mW
09-13-2026 00:27:22 RAM 6292/7620MB (lfb 1x1MB) SWAP 908/12002MB (cached 10MB) CPU [1%@1728,0%@1728,0%@1728,100%@1728,10%@806,0%@806] GR3D_FREQ 4% cpu@51.093C soc2@48.968C soc0@49.593C gpu@49.843C tj@51.093C soc1@50.343C VDD_IN 5882mW/5896mW VDD_CPU_GPU_CV 1269mW/1424mW VDD_SOC 1589mW/1547mW
09-13-2026 00:27:22 RAM 6319/7620MB (lfb 51x256kB) SWAP 908/12002MB (cached 10MB) CPU [3%@1728,0%@1728,0%@1728,90%@1728,18%@729,0%@729] GR3D_FREQ 0% cpu@51C soc2@49C soc0@49.531C gpu@50.281C tj@51C soc1@50.281C VDD_IN 5842mW/5895mW VDD_CPU_GPU_CV 1428mW/1424mW VDD_SOC 1510mW/1546mW
09-13-2026 00:27:23 RAM 6329/7620MB (lfb 51x256kB) SWAP 908/12002MB (cached 10MB) CPU [0%@1728,0%@1728,0%@1728,94%@1728,0%@729,0%@729] GR3D_FREQ 0% cpu@51.093C soc2@49.031C soc0@49.531C gpu@50.156C tj@51.093C soc1@50.187C VDD_IN 5723mW/5892mW VDD_CPU_GPU_CV 1468mW/1425mW VDD_SOC 1470mW/1545mW
09-13-2026 00:27:23 RAM 6329/7620MB (lfb 55x256kB) SWAP 908/12002MB (cached 10MB) CPU [13%@1728,10%@1728,16%@1728,41%@1728,15%@729,20%@729] GR3D_FREQ 0% cpu@50.875C soc2@49C soc0@49.625C gpu@50.218C tj@50.875C soc1@50.187C VDD_IN 5365mW/5882mW VDD_CPU_GPU_CV 1112mW/1419mW VDD_SOC 1470mW/1543mW
09-13-2026 00:27:24 RAM 6338/7620MB (lfb 36x256kB) SWAP 908/12002MB (cached 10MB) CPU [12%@1728,10%@1728,7%@1728,6%@1728,10%@729,62%@729] GR3D_FREQ 0% cpu@51.312C soc2@49.031C soc0@49.687C gpu@50C tj@51.312C soc1@50.187C VDD_IN 5325mW/5871mW VDD_CPU_GPU_CV 1033mW/1412mW VDD_SOC 1470mW/1542mW
09-13-2026 00:27:24 RAM 6407/7620MB (lfb 37x256kB) SWAP 909/12002MB (cached 10MB) CPU [23%@1497,54%@1497,3%@1497,7%@1497,32%@1420,4%@1420] GR3D_FREQ 0% cpu@51.062C soc2@49.062C soc0@49.593C gpu@49.875C tj@51.062C soc1@50.187C VDD_IN 5564mW/5866mW VDD_CPU_GPU_CV 1230mW/1409mW VDD_SOC 1510mW/1541mW
09-13-2026 00:27:25 RAM 6482/7620MB (lfb 1426x32kB) SWAP 910/12002MB (cached 10MB) CPU [13%@1728,0%@1728,53%@1728,10%@1728,40%@1728,5%@1728] GR3D_FREQ 3% cpu@50.687C soc2@49.031C soc0@49.718C gpu@50.062C tj@50.906C soc1@50.343C VDD_IN 5723mW/5863mW VDD_CPU_GPU_CV 1269mW/1406mW VDD_SOC 1550mW/1542mW
09-13-2026 00:27:25 RAM 6547/7620MB (lfb 13x64kB) SWAP 910/12002MB (cached 9MB) CPU [24%@729,6%@729,3%@729,0%@729,0%@1574,78%@1574] GR3D_FREQ 10% cpu@50.875C soc2@49.125C soc0@49.562C gpu@49.875C tj@50.875C soc1@50.406C VDD_IN 5802mW/5862mW VDD_CPU_GPU_CV 1349mW/1405mW VDD_SOC 1550mW/1542mW
