slabinfo - version: 2.1
# name            <active_objs> <num_objs> <objsize> <objperslab> <pagesperslab> : tunables <limit> <batchcount> <sharedfactor> : slabdata <active_slabs> <num_slabs> <sharedavail>
kmalloc-rcl-2k         0      0   2048   16    8 : tunables    0    0    0 : slabdata      0      0      0
kmalloc-rcl-1k         0      0   1024   16    4 : tunables    0    0    0 : slabdata      0      0      0
kmalloc-rcl-512        0      0    512   16    2 : tunables    0    0    0 : slabdata      0      0      0
kmalloc-rcl-256      256    368    256   16    1 : tunables    0    0    0 : slabdata     23     23      0
kmalloc-rcl-128     2565   5888    128   32    1 : tunables    0    0    0 : slabdata    184    184      0
kmalloc-cg-8k          8      8   8192    4    8 : tunables    0    0    0 : slabdata      2      2      0
kmalloc-cg-4k         91    144   4096    8    8 : tunables    0    0    0 : slabdata     18     18      0
kmalloc-cg-2k        180    256   2048   16    8 : tunables    0    0    0 : slabdata     16     16      0
kmalloc-cg-1k        471    576   1024   16    4 : tunables    0    0    0 : slabdata     36     36      0
kmalloc-cg-512       576    576    512   16    2 : tunables    0    0    0 : slabdata     36     36      0
kmalloc-cg-256       336    336    256   16    1 : tunables    0    0    0 : slabdata     21     21      0
kmalloc-cg-128      3654   4224    128   32    1 : tunables    0    0    0 : slabdata    132    132      0
kmalloc-8k           144    144   8192    4    8 : tunables    0    0    0 : slabdata     36     36      0
kmalloc-4k          1740   1848   4096    8    8 : tunables    0    0    0 : slabdata    231    231      0
kmalloc-2k          4698   4832   2048   16    8 : tunables    0    0    0 : slabdata    302    302      0
kmalloc-1k          2416   2640   1024   16    4 : tunables    0    0    0 : slabdata    165    165      0
kmalloc-512         5899   7488    512   16    2 : tunables    0    0    0 : slabdata    468    468      0
kmalloc-256       3368869 3380192    256   16    1 : tunables    0    0    0 : slabdata 211262 211262      0
kmalloc-128       118116 128256    128   32    1 : tunables    0    0    0 : slabdata   4008   4008      0
kmem_cache_node      256    256    128   32    1 : tunables    0    0    0 : slabdata      8      8      0
kmem_cache           192    192    256   16    1 : tunables    0    0    0 : slabdata     12     12      0
