09-14-2026 15:55:21 RAM 5675/7620MB (lfb 1x2MB) SWAP 648/8192MB (cached 200MB) CPU [27%@1728,28%@1728,2%@1728,2%@1728,0%@1036,39%@1036] GR3D_FREQ 0% cpu@53C soc2@51.437C soc0@51.875C gpu@52.218C tj@53C soc1@52.781C VDD_IN 5723mW/5824mW VDD_CPU_GPU_CV 1349mW/1437mW VDD_SOC 1550mW/1530mW
09-14-2026 15:55:22 RAM 5700/7620MB (lfb 1x2MB) SWAP 648/8192MB (cached 200MB) CPU [0%@1728,60%@1728,19%@1728,0%@1728,0%@729,20%@729] GR3D_FREQ 0% cpu@53.281C soc2@51.531C soc0@51.843C gpu@52.562C tj@53.281C soc1@52.718C VDD_IN 5723mW/5821mW VDD_CPU_GPU_CV 1428mW/1437mW VDD_SOC 1510mW/1530mW
09-14-2026 15:55:22 RAM 5685/7620MB (lfb 1x2MB) SWAP 648/8192MB (cached 200MB) CPU [5%@1728,26%@1728,8%@1728,19%@1728,1%@729,24%@729] GR3D_FREQ 0% cpu@53.406C soc2@51.5C soc0@52C gpu@52.5C tj@53.406C soc1@52.656C VDD_IN 6001mW/5826mW VDD_CPU_GPU_CV 1388mW/1435mW VDD_SOC 1587mW/1531mW
09-14-2026 15:55:23 RAM 5686/7620MB (lfb 1x2MB) SWAP 648/8192MB (cached 200MB) CPU [4%@1651,0%@1651,28%@1651,29%@1651,1%@729,39%@729] GR3D_FREQ 0% cpu@53.593C soc2@51.437C soc0@52.093C gpu@52.531C tj@53.593C soc1@52.593C VDD_IN 5683mW/5822mW VDD_CPU_GPU_CV 1349mW/1433mW VDD_SOC 1510mW/1531mW
09-14-2026 15:55:23 RAM 5690/7620MB (lfb 1x2MB) SWAP 648/8192MB (cached 200MB) CPU [34%@1728,3%@1728,0%@1728,2%@1728,20%@729,25%@729] GR3D_FREQ 0% cpu@53.656C soc2@51.5C soc0@51.937C gpu@52.406C tj@53.437C soc1@52.687C VDD_IN 5842mW/5823mW VDD_CPU_GPU_CV 1388mW/1432mW VDD_SOC 1550mW/1531mW
09-14-2026 15:55:24 RAM 5690/7620MB (lfb 1x2MB) SWAP 648/8192MB (cached 200MB) CPU [6%@1728,3%@1728,23%@1728,1%@1728,2%@1190,54%@1190] GR3D_FREQ 0% cpu@53.218C soc2@51.437C soc0@51.875C gpu@52.593C tj@53.218C soc1@52.625C VDD_IN 6190mW/5831mW VDD_CPU_GPU_CV 1388mW/1431mW VDD_SOC 1706mW/1535mW
09-14-2026 15:55:24 RAM 5690/7620MB (lfb 1x2MB) SWAP 648/8192MB (cached 200MB) CPU [2%@1728,23%@1728,34%@1728,4%@1728,0%@1728,38%@1728] GR3D_FREQ 0% cpu@53.125C soc2@51.406C soc0@51.937C gpu@52.468C tj@53.125C soc1@52.75C VDD_IN 5723mW/5829mW VDD_CPU_GPU_CV 1309mW/1429mW VDD_SOC 1550mW/1535mW
09-14-2026 15:55:25 RAM 5690/7620MB (lfb 1x2MB) SWAP 648/8192MB (cached 200MB) CPU [5%@1728,28%@1728,28%@1728,3%@1728,25%@729,5%@729] GR3D_FREQ 0% cpu@53.343C soc2@51.468C soc0@51.875C gpu@52.312C tj@53.562C soc1@52.687C VDD_IN 5921mW/5830mW VDD_CPU_GPU_CV 1349mW/1427mW VDD_SOC 1587mW/1536mW
09-14-2026 15:55:25 RAM 5690/7620MB (lfb 1x2MB) SWAP 648/8192MB (cached 200MB) CPU [4%@729,2%@729,12%@729,18%@729,2%@1267,49%@1267] GR3D_FREQ 0% cpu@53.125C soc2@51.562C soc0@52.125C gpu@52.375C tj@53.125C soc1@52.625C VDD_IN 6160mW/5837mW VDD_CPU_GPU_CV 1349mW/1425mW VDD_SOC 1666mW/1539mW
09-14-2026 15:55:26 RAM 5689/7620MB (lfb 1x2MB) SWAP 648/8192MB (cached 200MB) CPU [36%@1728,2%@1728,0%@1728,26%@1728,0%@1728,36%@1728] GR3D_FREQ 0% cpu@53.437C soc2@51.437C soc0@52.031C gpu@52.312C tj@53.437C soc1@52.625C VDD_IN 5723mW/5835mW VDD_CPU_GPU_CV 1309mW/1423mW VDD_SOC 1550mW/1539mW
09-14-2026 15:55:27 RAM 5690/7620MB (lfb 1x2MB) SWAP 648/8192MB (cached 200MB) CPU [29%@1728,2%@1728,1%@1728,25%@1728,3%@729,26%@729] GR3D_FREQ 0% cpu@53.562C soc2@51.468C soc0@51.968C gpu@52.406C tj@53.562C soc1@52.593C VDD_IN 5921mW/5837mW VDD_CPU_GPU_CV 1349mW/1422mW VDD_SOC 1587mW/1540mW
